Date,Production_Line,Machine_ID,Product,Target_Production,Actual_Production,Defective_Units,Downtime_Minutes,Operating_Hours
2025-01-01,Line 1,M101,Product A,812,789,22,67,6.88
2025-01-01,Line 1,M102,Product B,1177,918,20,161,5.32
2025-01-01,Line 2,M201,Product D,816,619,19,69,6.85
2025-01-01,Line 2,M202,Product A,1087,880,49,149,5.52
2025-01-01,Line 3,M301,Product D,912,806,25,11,7.82
2025-01-01,Line 3,M302,Product B,1157,1014,45,49,7.18
2025-01-01,Line 4,M401,Product B,1190,1012,21,107,6.22
2025-01-01,Line 4,M402,Product A,983,987,42,21,7.65
2025-01-02,Line 1,M101,Product D,1074,845,67,106,6.23
2025-01-02,Line 1,M102,Product A,1082,906,55,157,5.38
2025-01-02,Line 2,M201,Product B,1160,894,37,84,6.6
2025-01-02,Line 2,M202,Product A,919,928,57,81,6.65
2025-01-02,Line 3,M301,Product D,1125,1125,31,104,6.27
2025-01-02,Line 3,M302,Product C,907,862,52,175,5.08
2025-01-02,Line 4,M401,Product A,1111,1044,78,72,6.8
2025-01-02,Line 4,M402,Product B,1036,894,36,93,6.45
2025-01-03,Line 1,M101,Product A,917,913,49,112,6.13
2025-01-03,Line 1,M102,Product C,833,677,42,90,6.5
2025-01-03,Line 2,M201,Product B,1135,1021,68,46,7.23
2025-01-03,Line 2,M202,Product C,871,717,42,147,5.55
2025-01-03,Line 3,M301,Product C,1182,1093,84,112,6.13
2025-01-03,Line 3,M302,Product C,912,956,26,140,5.67
2025-01-03,Line 4,M401,Product D,846,826,63,38,7.37
2025-01-03,Line 4,M402,Product B,1121,894,62,162,5.3
2025-01-04,Line 1,M101,Product A,997,861,37,145,5.58
2025-01-04,Line 1,M102,Product C,1083,1091,11,39,7.35
2025-01-04,Line 2,M201,Product C,1193,1124,25,85,6.58
2025-01-04,Line 2,M202,Product D,880,779,53,77,6.72
2025-01-04,Line 3,M301,Product B,1059,1084,48,173,5.12
2025-01-04,Line 3,M302,Product B,878,756,17,148,5.53
2025-01-04,Line 4,M401,Product A,1106,937,11,38,7.37
2025-01-04,Line 4,M402,Product C,957,786,22,155,5.42
2025-01-05,Line 1,M101,Product A,843,817,60,27,7.55
2025-01-05,Line 1,M102,Product B,865,819,43,52,7.13
